product_id	prod_id	Quality	URL	supplier_id	High_res_img	Low_res_img	Thumbnail_img	UNCATID	Category_ID	m_prod_id	ean_upcs	model_name	original_supplier_id	product_view	on_market	country_market_set	Updated
1399	C4872A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1399;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1399_high_1496963303_5656_26625.jpg	http://images.icecat.biz/img/gallery_lows/img_1399_low_1496963342_3213_26625.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1399_thumb_1496963370_3999_26625.jpg	44103105	377	C4872A	5705965480557;0777785507870;0886986291232;9082014024907;6092014024923;0088698629123;0735029220800;4053162277090;5051964081876;0882780756328	C4872A	1		1	NL;BE;FR;UA;GB;DE;RU;CY;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AF;CA;CL;MX;TG;LU	20170609010955
1400	C4874A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1400;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1400_high_1496963302_9326_15004.jpg	http://images.icecat.biz/img/gallery_lows/img_1400_low_1496963337_2948_15004.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1400_thumb_1496963365_2114_15004.jpg	44103105	377	C4874A	0008869862913;0735029212096;0886986291300;5705965480571;0882780756342;0778890617676;4250905208230;4053162277113;0088698629130	C4874A	1		1	NL;BE;FR;UA;GB;DE;RU;CY;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AF;CA;CL;MX;TG;TR	20170609010956
1401	C4891A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1401;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1401_high_1496968933_8563_3452.jpg	http://images.icecat.biz/img/gallery_lows/img_1401_low_1496968944_8063_3452.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1401_thumb_1496968955_5351_3452.jpg	44103105	377	C4891A	0088698629208;0008869862920;0807027516893;0999992821987	C4891A	1		1	NL;BE;FR;GB;DE;US;CA	20170609024245
1402	C4893A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1402;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1402_high_1496968927_187_14903.jpg	http://images.icecat.biz/img/gallery_lows/img_1402_low_1496968939_1129_14903.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1402_thumb_1496968957_4361_14903.jpg	44103105	377	C4893A	0088698629222	C4893A	1		1	NL;BE;GB;DE;IT;US;CA	20170609024252
1403	C4934A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1403;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1403_high_1496963319_3166_6548.jpg	http://images.icecat.biz/img/gallery_lows/img_1403_low_1496963353_5831_6548.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1403_thumb_1496963374_5325_6548.jpg	44103105	377	C4934A	5051964083603;4053162277304;5055344664543;0251842526016;0807027517005;0025184252601;0882780756465	C4934A	1		1	NL;BE;FR;UA;GB;DE;RU;LT;CY;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AF;CA;MX;TG;TR;LU	20170609010956
1404	C4935A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1404;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1404_high_1496963322_9775_6848.jpg	http://images.icecat.biz/img/gallery_lows/img_1404_low_1496963357_7985_6848.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1404_thumb_1496963376_7563_6848.jpg	44103105	377	C4935A	5704327657262;5051964083320;0882780756472;0251842526184;4053162277311;0025184252618	C4935A	1		1	NL;BE;FR;UA;GB;DE;RU;GR;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AF;CA;CL;MX;TG;TR	20170609010957
1405	C4993A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1405;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1405_high_1496968947_535_3151.jpg	http://images.icecat.biz/img/gallery_lows/img_1405_low_1496968956_1962_3151.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1405_thumb_1496968962_6179_3151.jpg	44103105	377	C4993A	0025184252717;0999992713831	C4993A	1		1	GB;DE;SE;US;MX	20170609024250
1406	C4994A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1406;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1406_high_1501674068_9207_26569.jpg	http://images.icecat.biz/img/gallery_lows/img_1406_low_1501674070_087_26569.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1406_thumb_1501674071_0663_26569.jpg	44103105	377	C4994A	0025184252724;5051395529138;0882780756588	C4994A	1		1	BE;FR;GB;DE;DK;SE;US;LU	20170802134112
1407	C4995A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1407;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1407_high_1496968948_4949_18406.jpg	http://images.icecat.biz/img/gallery_lows/img_1407_low_1496968985_7162_18406.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1407_thumb_1496969010_5619_18406.jpg	44103105	377	C4995A	0025184252731;0882780756595	C4995A	1		1	GB;DE;US	20170609024358
1408	C4942A	ICECAT	http://prf.icecat.biz/index.cgi?product_id=1408;mi=start;smi=product;	1	http://images.icecat.biz/img/gallery/img_1408_high_1501689045_3911_498.jpg	http://images.icecat.biz/img/gallery_lows/img_1408_low_1501689046_5415_498.jpg	http://images.icecat.biz/img/gallery_thumbs/img_1408_thumb_1501689047_4141_498.jpg	44103105	377	C4942A	0002518425276;0251842527624;5704327420293;4053162277342;0956258042050;0025184252762;0882780756779	C4942A	1		1	NL;BE;FR;GB;DE;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AF;CA;CL;MX;TG	20170802175048
